published_date,market,entry_time,exit_time,ticker,direction,shares,entry_price,exit_price,target_price,stop_price,hit_target,hit_stop,pnl,pnl_pct,capital_after,news_event,link,runid,rundate
2025-05-30 07:30:00+00:00,pre_market,2025-05-30 10:26:00-04:00,2025-05-30 15:12:00+00:00,TGTX,LONG,28,35.029998779296875,35.38029876708985,35.38029876708985,34.85484878540039,True,False,9.808399658203228,0.9808399658203228,10009.808399658203,clinical_study,https://www.globenewswire.com/news-release/2025/05/30/3090994/8790/en/TG-Therapeutics-Announces-Data-Presentations-for-BRIUMVI-in-Multiple-Sclerosis-at-the-2025-Consortium-of-Multiple-Sclerosis-Centers-Annual-Meeting.html,e0f76d50,2025-06-28 11:19:39
2025-05-30 08:00:00+00:00,pre_market,2025-05-30 10:26:00-04:00,2025-05-30 14:28:00+00:00,MDAI,LONG,614,1.6292999982833862,1.6211534982919693,1.64559299826622,1.6211534982919693,False,True,-5.00195099472999,-0.4997049688684138,10004.806448663472,management_changes,https://www.globenewswire.com/news-release/2025/05/30/3091011/0/en/Spectral-AI-Announces-Appointment-of-Stanley-Micek-as-Chief-Operating-Officer.html,e0f76d50,2025-06-28 11:19:39
2025-05-30 08:00:00+00:00,pre_market,2025-05-30 10:26:00-04:00,2025-05-30 14:43:00+00:00,CHRS,LONG,1277,0.7832000255584717,0.7910320258140564,0.7910320258140564,0.7792840254306793,True,False,10.001464326381695,0.9996659483320416,10014.807912989854,company_regulatory_filings,https://www.globenewswire.com/news-release/2025/05/30/3091025/33333/en/Coherus-Completes-Strategic-Transformation-to-Coherus-Oncology-Focusing-Exclusively-on-Innovative-Cancer-Therapeutics.html,e0f76d50,2025-06-28 11:19:39
2025-05-30 10:47:00+00:00,pre_market,2025-05-30 10:26:00-04:00,2025-05-30 14:47:00+00:00,FBIO,LONG,534,1.875,1.89375,1.89375,1.865625,True,False,10.012500000000024,0.9997695499494468,10024.820412989855,mergers_acquisitions,https://www.globenewswire.com/news-release/2025/05/30/3091157/28889/en/Fortress-Biotech-Announces-Closing-of-Sale-of-Subsidiary-Checkpoint-Therapeutics.html,e0f76d50,2025-06-28 11:19:39
2025-06-02 06:45:00+00:00,pre_market,2025-06-02 10:26:00-04:00,2025-06-02 14:26:00+00:00,BNTX,LONG,8,113.09500122070312,112.52952621459961,114.22595123291016,112.52952621459961,False,True,-4.523800048828093,-0.45125995902792354,10020.296612941027,partnerships,https://www.globenewswire.com/news-release/2025/06/02/3091688/0/en/BioNTech-and-Bristol-Myers-Squibb-Announce-Global-Strategic-Partnership-to-Co-Develop-and-Co-Commercialize-Next-generation-Bispecific-Antibody-Candidate-BNT327-Broadly-for-Multiple.html,e0f76d50,2025-06-28 11:19:39
2025-06-02 06:45:00+00:00,pre_market,2025-06-02 10:26:00-04:00,2025-06-02 14:26:00+00:00,BNTX,LONG,8,113.09500122070312,112.52952621459961,114.22595123291016,112.52952621459961,False,True,-4.523800048828093,-0.45146368651260177,10015.772812892199,partnerships,https://www.globenewswire.com/news-release/2025/06/02/3091688/0/de/BioNTech-und-Bristol-Myers-Squibb-geben-globale-strategische-Partnerschaft-zur-gemeinsamen-Entwicklung-und-Kommerzialisierung-des-bispezifischen-Antik%C3%B6rperkandidaten-BNT327-in-eine.html,e0f76d50,2025-06-28 11:19:39
2025-06-02 07:00:00+00:00,pre_market,2025-06-02 10:26:00-04:00,2025-06-02 14:31:00+00:00,IMCR,SHORT,26,38.28499984741211,37.90214984893799,37.90214984893799,38.47642484664917,True,False,9.954099960327156,0.9938424269682257,10025.726912852526,conference_call_webinar,https://www.globenewswire.com/news-release/2025/06/02/3091717/0/en/Immunocore-to-present-at-the-2025-Jefferies-Global-Healthcare-Conference.html,e0f76d50,2025-06-28 11:19:39
2025-06-02 07:30:00+00:00,pre_market,2025-06-02 10:26:00-04:00,2025-06-02 15:06:00+00:00,INAB,LONG,7509,0.13349999487400055,0.13483499482274056,0.13483499482274056,0.13283249489963053,True,False,10.024514615088709,0.999879081310078,10035.751427467614,clinical_study,https://www.globenewswire.com/news-release/2025/06/02/3091745/0/en/IN8bio-Presents-Positive-Phase-1-Data-of-INB-200-in-Newly-Diagnosed-GBM-Demonstrating-Prolonged-Progression-Free-Survival.html,e0f76d50,2025-06-28 11:19:39
2025-06-02 08:00:00+00:00,pre_market,2025-06-02 10:26:00-04:00,2025-06-02 15:17:00+00:00,TGTX,LONG,28,35.01240158081055,35.36252559661865,35.36252559661865,34.837339572906494,True,False,9.803472442626969,0.976854848735601,10045.554899910241,conference_call_webinar,https://www.globenewswire.com/news-release/2025/06/02/3091817/8790/en/TG-Therapeutics-to-Participate-in-the-Jefferies-Global-Healthcare-Conference.html,e0f76d50,2025-06-28 11:19:39
2025-06-02 08:00:00+00:00,pre_market,2025-06-02 10:26:00-04:00,2025-06-02 14:26:00+00:00,BCAB,LONG,2074,0.48420000076293945,0.4817790007591248,0.48904200077056886,0.4817790007591248,False,True,-5.02115400791164,-0.49983839199928165,10040.53374590233,clinical_study,https://www.globenewswire.com/news-release/2025/06/02/3091818/0/en/BioAtla-Presents-Phase-2-Ozuriftamab-Vedotin-Oz-V-Clinical-Trial-Data-Demonstrating-Compelling-Antitumor-Activity-in-HPV-Associated-Oropharyngeal-Squamous-Cell-Carcinoma-HPV-OPSCC-.html,e0f76d50,2025-06-28 11:19:39
