id,issuer,ticker,yf_ticker,isin,asset_class,sector,exchange,exchange_code,country,url
672,Zalaris ASA ,ZAL.OL,ZAL.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/ZAL.OL/
674,Xplora Technologies AS ,XPLRA.OL,XPLRA.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/XPLRA.OL/
675,Danske Bank A/S ,DANSKE.CO,DANSKE.CO,,equity,,nasdaq_nordics,NASDAQ,DK,https://finance.yahoo.com/quote/DANSKE.CO/
676,Nekkar ASA,NKR.OL,NKR.OL,,equity,,Oslo Børs,XOSL,NO,Nekkar ASA (NKR.OL)
677,Savencia SA,SAVE.PA,SAVE.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/SAVE.PA/
678,Orange S.A.,ORA.PA,ORA.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/ORA.PA/
663,TietoEVRY Oyj ,TIETO.HE,TIETO.HE,,equity,,Nasdaq Helsinki,HEL,Finland,https://finance.yahoo.com/quote/TIETO.HE/
119,HKFoods Oyj,HKFOODS.HE,HKFOODS.HE,,equity,,Nasdaq Helsinki,HEL,Finland,https://finance.yahoo.com/quote/HKFOODS.HE/
1819,NYAB AB,NYAB.ST,NYAB.ST,,equity,,Nasdaq Stockholm,STO,Sweden,https://finance.yahoo.com/quote/NYAB.ST/
12,EfTEN Real Estate Fund,EFT1T.TL,EFT1T.TL,,equity,,Nasdaq Riga,TAL,EE,https://finance.yahoo.com/quote/EFT1T.TL/
679,Danone S.A.,BN.PA,BN.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/BN.PA/
680,MotorK plc ,MTRK.AS,MTRK.AS,,equity,,Euronext Amsterdam,XAMS,NL,https://finance.yahoo.com/quote/MTRK.AS/
54,Grab2Go,GRB2G,GRB2G.RG,EE3100107194,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100107194/trading
55,VIRSI-A,VIRSI,VIRSI.RG,LV0000101848,equity,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000101848/trading
57,Zemaitijos Pienas,ZMP1L,ZMP1L.VS,LT0000121865,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000121865/trading
58,East West Agro,EWA1L,EWA1L.RG,LT0000132060,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000132060/trading
59,INVL Baltic Real Estate,INR1L,INR1L.VS,LT0000127151,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000127151/trading
61,INVL Technology,INC1L,INC1L.VS,LT0000128860,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128860/trading
62,Siauliu Bankas,SAB1L,SAB1L.VS,LT0000102253,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000102253/trading
65,TKM Grupp,TKM1T,TKM1T.TL,EE0000001105,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE0000001105/trading
66,LITGRID,LGD1L,LGD1L.VS,LT0000128415,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128415/trading
67,Sun Finance Treasury Limited,SUNBFLOT26FA,SUNBFLOT26FA.RG,LV0000802692,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000802692/trading
1820,Kamux Oyj	,KAMUX.HE,KAMUX.HE,,equity,,Nasdaq Helsinki,HEL,Finland,https://finance.yahoo.com/quote/KAMUX.HE/
70,Kauno Energija,KNR1L,KNR1L.VS,LT0000123010,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000123010/trading
71,Vilniaus Baldai,VBL1L,VBL1L.VS,LT0000104267,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000104267/trading
73,Akola group,AKO1L,AKO1L.VS,LT0000128092,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000128092/trading
689,Carasent ASA ,CARAO.OL,CARAO.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/CARAO.OL/
690,OVH Groupe S.A. ,OVH.PA,OVH.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/OVH.PA/
809,NTG Nordic Transport Group A/S,NTG.CO,NTG.CO,,equity,,nasdaq_nordics,NASDAQ,DK,https://finance.yahoo.com/quote/NTG.CO/
810,Wetteri Oyj ,WETTERI.HE,WETTERI.HE,,equity,,Nasdaq Helsinki,XHEL,FI,https://finance.yahoo.com/quote/WETTERI.HE/
811,Infrea AB,INFREA.ST,INFREA.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/INFREA.ST/
33,Hestio,HEST045027FA,,LV0000802650,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802650/trading
35,Longo Group,LONGO060024FA,,LV0000860062,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000860062/trading
5,Eco Baltia,ECOB080026FA,,LV0000860120,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000860120/trading
92,Alma Media,ALMA,ALMA.HE,FI0009013114,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/shares/microsite?Instrument=HEX29471
63,Amber Beverage Group Holding S.Ã r.l.,AMBEFLOT27A,,LV0000870137,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000870137/trading
6,Partnerystes projektai keturi,PP4B090026A,,,bonds,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000407561/trading
46,Estonian Japan Trading Company,EJTC,,EE3100008996,equity,,Nasdaq Riga,RSE,EE,https://nasdaqbaltic.com/statistics/en/instrument/EE3100008996/trading
50,IuteCredit Finance S.a r.l,IUTE110026A,,XS2378483494,bonds,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/XS2378483494/trading?date=2024-10-08
20,Altum,ALTM,,,bonds,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LV0000880037/trading
64,Bigbank AS,BIGB070034A,,EE3300004340,bonds,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3300004340/trading
24,CleanR Grupa,CRGBFLOT25FA,,LV0000802676,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802676/trading
26,BluOr Bank,BORA070029A,,LV0000802569,bonds,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/en/instrument/LV0000802569/trading
681,Viridien Société anonyme ,VIRI.PA,VIRI.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/VIRI.PA/
682,Netgem SA,ALNTG.PA,ALNTG.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/ALNTG.PA/
812,Fasadgruppen Group AB ,FG.ST,FG.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/FG.ST/
813,Oscar Properties Holding AB,OP.ST,OP.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/OP.ST/
814,Norion Bank AB ,NORION.ST,NORION.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/NORION.ST/
815,UPM-Kymmene Oyj ,UPM.HE,UPM.HE,,equity,,Nasdaq Helsinki,XHEL,FI,https://finance.yahoo.com/quote/UPM.HE/
816,Spar Nord Bank A/S ,SPNO.CO,SPNO.CO,,equity,,nasdaq_nordics,NASDAQ,DK,https://finance.yahoo.com/quote/SPNO.CO/
817,Troax Group AB,TROAX.ST,TROAX.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/TROAX.ST/
818,Finnair Oyj,FIA1S.HE,FIA1S.HE,,equity,,Nasdaq Helsinki,XHEL,FI,https://finance.yahoo.com/quote/FIA1S.HE/
819,Micro Systemation AB,MSAB-B.ST,MSAB-B.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/MSAB-B.ST/
820,Attendo AB ,ATT.ST,ATT.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/ATT.ST/
821,Fortum Oyj ,FORTUM.HE,FORTUM.HE,,equity,,Nasdaq Helsinki,XHEL,FI,https://finance.yahoo.com/quote/FORTUM.HE/
823,Hanza AB ,HANZA.ST,HANZA.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/HANZA.ST/
822,Nurminen Logistics Oyj ,NLG1V.HE,NLG1V.HE,,equity,,Nasdaq Helsinki,HEL,Finland,https://finance.yahoo.com/quote/NLG1V.HE/
824,PowerCell Sweden AB,PCELL.ST,PCELL.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/PCELL.ST/
825,SSAB AB,SSAB-B.ST,SSAB-B.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/SSAB-B.ST/
826,Aspo Oyj ,ASPO.HE,ASPO.HE,,equity,,Nasdaq Helsinki,XHEL,FI,https://finance.yahoo.com/quote/ASPO.HE/
13,Novaturas,NTU1L,NTU1L.VS,LT0000131872,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000131872/trading
15,Amber Latvijas balzams,BAL1R,BAL1R.RG,LV0000100808,equity,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000100808/trading
94,AQ Group AB,AQ,,,,,,,,
98,Baltic Horizon Fund / Northern Horizon Capital,NHCBFLO28A,,EE3300003235,bonds,,nasdaq_nordics,,,https://www.nasdaqomxnordic.com/bonds/sweden/microsite2?Instrument=XTALNHCBFLO28A
16,Robus Group,ROBUS,ROBUS.RG,EE3100096140,equity,,Nasdaq Riga,RSE,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100096140/trading
17,Merko Ehitus,MRK1T,MRK1T.TL,EE3100098328,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100098328/trading
18,Elmo Rent,ELMO,ELMO.RG,EE3100075888,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100075888/trading
19,MADARA Cosmetics,MDARA,MDARA.RG,LV0000101624,equity,,Nasdaq Riga,RSE,LV,https://www.nasdaqbaltic.com/statistics/en/instrument/LV0000101624/trading
93,Amaroq Minerals Ltd.,AMRQ,AMRQ.IC,IS0000034569,equity,,nasdaq_nordics,XICE,IS,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=ICE273304&name=Amaroq%20Minerals%20Ltd.&ISIN=IS0000034569
95,Arion banki hf.,ARION,ARION.IC,IS0000028157,equity,,nasdaq_nordics,XICE,IS,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=ICE156438&name=Arion%20banki&ISIN=IS0000028157
96,Atrium Ljungberg AB,ATRLJ,ATRLJ-B.ST,SE0000191827,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE1011&name=Atrium%20Ljungberg%20B&ISIN=SE0000191827
97,Bactiguard Holding B,BACTI B,BACTBS.XD,SE0005878741,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE101601&name=Bactiguard%20Holding%20B&ISIN=SE0005878741
99,Bavarian Nordic A/S,BAVA,BAVA.CO,DK0015998017,equity,,nasdaq_nordics,XCSE,DK,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=CSE3333&name=Bavarian%20Nordic&ISIN=DK0015998017
100,Bong AB,BONG,BONG.ST,SE0000396061,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE892&name=Bong&ISIN=SE0000396061
101,Brd. Klee A/S,KLEE B,KLEE-B.CO,DK0010129089,equity,,Nasdaq Stockholm,XCSE,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=CSE3420&name=Brd.%20Klee%20B&ISIN=DK0010129089
106,C WORLDWIDE EMERGING MARKETS KL,CWIEMMKL,CWIEMMKL.CO,DK0015945166,funds,,nasdaq_nordics,XCSE,DK,https://www.nasdaqomxnordic.com/fonder/microsite?Instrument=CSE23855&name=C%20WorldWide%20Emerging%20Markets%20KL
107,DANSKE INVEST SELECT KOMMUNER 4,DSIKOM4,DSIKOM4.CO,DK0016205685,funds,,nasdaq_nordics,XCSE,DK,https://www.nasdaqomxnordic.com/fonder/microsite?Instrument=CSE39013&name=Danske%20Invest%20Select%20Kommuner%204
109,Doro,DORO,DORO.ST,SE0000215493,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE896&name=DORO&ISIN=SE0000215493
110,DSV A/S,DSV,DSV.CO,DK0060079531,equity,,nasdaq_nordics,XCSE,DK,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=CSE3415&name=DSV&ISIN=DK0060079531
692,Pihlajalinna Oyj,PIHLIS,PIHLIS.HE,FI4000092556,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/shares/microsite?Instrument=HEX109978
693,Aega ASA ,AEGA.OL,AEGA.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/AEGA.OL/
694,B2 Impact ASA ,B2I.OL,B2I.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/B2I.OL/
695,Nidaros Sparebank,NISB.OL,NISB.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/NISB.OL/
696,Romerike Sparebank,ROMER.OL,ROMER.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/ROMER.OL/
697,CA TOULOUSE 31 CCI,CAT31.PA,CAT31.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/CAT31.PA/
698,ZENITH ENERGY/Zenith Energy Ltd. ,ZENA.OL,ZENA.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/ZENA.OL/
699,Endúr ASA,ENDUR.OL,ENDUR.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/ENDUR.OL/
700,International Petroleum Corporation,IPCO.ST,IPCO.ST,,equity,,Nasdaq Stockholm,XSTO,SE,https://finance.yahoo.com/quote/IPCO.ST/
701,Gjensidige Forsikring ASA,GJFO.OL,GJFO.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/GJFO.OL/
702,AutoStore Holdings Ltd.,AUTO.OL,AUTO.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/AUTO.OL/
703,Seacrest Petroleo Bermuda Limited,SEAPT.OL,SEAPT.OL,,equity,,Oslo Børs,XOSL,NO,https://finance.yahoo.com/quote/SEAPT.OL/
704,Umalis Group,MLUMG.PA,MLUMG.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/MLUMG.PA/
705,Bastide Le Confort Médical SA,BLC.PA,BLC.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/BLC.PA/
706,Clariane SE,CLARI.PA,CLARI.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/CLARI.PA/
707,Umicore SA ,UMI.BR,UMI.BR,,equity,,Euronext Brussels,XBRU,BE,https://finance.yahoo.com/quote/UMI.BR/
708,Pershing Square Holdings ,PSH.AS,PSH.AS,,equity,,Euronext Amsterdam,XAMS,NL,https://finance.yahoo.com/quote/PSH.AS/
709,Synergie SE,SDG.PA,SDG.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/SDG.PA/
710,Voltalia SA ,VLTSA.PA,VLTSA.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/VLTSA.PA/
711,Amplitude Surgical SA ,AMPLI.PA,AMPLI.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/AMPLI.PA/
712,Biosynex SA,ALBIO.PA,ALBIO.PA,,equity,,,XPAR,FR,https://finance.yahoo.com/quote/ALBIO.PA/
713,Biotalys NV ,BTLS.BR,BTLS.BR,,equity,,Euronext Brussels,XBRU,BE,https://finance.yahoo.com/quote/BTLS.BR/
714,AgroGeneration SA ,ALAGR.PA,ALAGR.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/ALAGR.PA/
716,THERANEXUS,ALTHX.PA,ALTHX.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/ALTHX.PA/
717,EXAIL TECHNOLOGIES,EXA.PA,EXA.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/EXA.PA/
721,ALCHIMIE SA,ALCHI.PA,ALCHI.PA,,equity,,Euronext Paris,XPAR,FR,https://finance.yahoo.com/quote/ALCHI.PA/
21,Tallinna Vesi,TVE1T,TVE1T.TL,EE3100026436,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3100026436/trading
22,Panevezio Statybos Trestas,PTR1L,PTR1L.VS,LT0000101446,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/et/instrument/LT0000101446/trading
23,EfTEN United Property Fund / EfTEN Capital,EFCUPFFT,EFCUPFFT.TL,EE3500001609,funds,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/et/instrument/EE3500001609/trading
25,INDEXO,IDX1R,IDX1R.RG,LV0000101863,equity,,Nasdaq Riga,RSE,LV,https://nasdaqbaltic.com/statistics/et/instrument/LV0000101863/trading
27,Rokiskio Suris,RSU1L,RSU1L.VS,LT0000100372,equity,,Nasdaq Vilnius,VSE,LT,https://nasdaqbaltic.com/statistics/en/instrument/LT0000100372/trading
28,J.Molner,MOLNR,MOLNR.RG,EE3100109034,equity,,Nasdaq Riga,TAL,EE,https://nasdaqbaltic.com/statistics/en/instrument/EE3100109034/trading
124,Jetpak Top Holding AB,JETPAK,JETPAK.ST,SE0012012508,equity,,Nasdaq Stockholm,SSME,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE164293&name=Jetpak%20Top%20Holding&ISIN=SE0012012508
125,Jyske Bank A/S,JYSK,JYSK.CO,DK0010307958,equity,,nasdaq_nordics,XCSE,DK,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=CSE1587&name=Jyske%20Bank&ISIN=DK0010307958
142,Nykredit Realkredit A/S,9NYK 4.25 BB,,DK0009720104,bonds,,nasdaq_nordics,,DK,https://www.nasdaqomxnordic.com/bonds/denmark/microsite?Instrument=XCSE9NYK_4.25_BB&name=Nykredit
126,Keskisuomalainen Oyj,KSL,KSL.HE,FI0009007546,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=HEX24294&name=Keskisuomalainen%20Oyj&ISIN=FI0009007546
1821,BE Group AB,BEGR.ST,BEGR.ST,,equity,,Nasdaq Stockholm,STO,Sweden,https://finance.yahoo.com/quote/BEGR.ST/
146,Orphazyme A/S,ORPHA,ORPHA.CO,DK0062502894,equity,,nasdaq_nordics,XCSE,DK,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=CSE145804&name=Orphazyme&ISIN=DK0062502894
128,Kinnevik Investment AB,KINV B,KINV-B.ST,SE0022060521,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE999&name=Kinnevik%20B&ISIN=SE0022060521
132,Martela Oyj,MARAS,MARAS.HE,FI0009900385,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=HEX24301&name=Martela%20Oyj%20A&ISIN=FI0009900385
133,Metsä Board Oyj,METSB,METSB.HE,FI0009000665,equity,,Nasdaq Helsinki,XHEL,FI,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=HEX24307&name=Metsä%20Board%20Oyj%20B&ISIN=FI0009000665
135,Millicom Int. Cellular SDB,TIGO SDB,MLCMF,SE0001174970,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE24507&name=Millicom%20Int.%20Cellular%20SDB&ISIN=SE0001174970
136,Nanologica AB,NICA,NICA.ST,SE0005454873,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE252995&name=Nanologica&ISIN=SE0005454873
137,NAXS AB,NAXS,NAXS.ST,SE0001965369,equity,,Nasdaq Stockholm,XSTO,SE,https://www.nasdaqomxnordic.com/aktier/microsite?Instrument=SSE40342&name=NAXS&ISIN=SE0001965369
